recall_number,brand_name,generic_name,classification,reason_raw,reason_ai,recall_date
D-0492-2025,UNAVY ACIDO HIALURONICO,,Class I,"Marketed without approved NDA/ANDA- Laboratory analysis found product to be tainted with undeclared ingredients: Dexamethasone, Diclofenac and Omeprazole.",No AI summary generated,20250625
D-0471-2025,Acetaminophen Tablets,,Class II,cGMP deviations: Due to confirmed consumer complaints received with the observation of tablet discoloration (brown surface on tablets).,No AI summary generated,20250625
D-0472-2025,Gentamicin Injection,,Class II,Failed Stability Specifications:  Out of specification results for the Color Absorbance test during 12 Month sample analysis.,No AI summary generated,20250625
D-0493-2025,UMOVY ACIDO HIALURONICO,,Class I,Marketed without approved NDA/ANDA- Laboratory analysis found product to be tainted with undeclared ingredients: Dexamethasone and Diclofenac.,No AI summary generated,20250625
D-0461-2025,Chlorthalidone Tablets,,Class II,Failed Dissolution Specifications,No AI summary generated,20250618
D-0465-2025,ELECTRO BUZZ,,Class I,"Marketed without an Approved NDA/ANDA: Laboratory analysis found the product to be tainted with undeclared chloropretadalafil, propoxyphenylsildenafil, and sildenafil.",No AI summary generated,20250618
D-0469-2025,Cephalexin for Oral Suspension,,Class II,Failed Impurities/Degradation Specifications An out-of-specification result was observed in the related substance test at the sixth month of stability analysis.    The individual impurity was identified to be Cephalexin Glucose Adduct.,No AI summary generated,20250618
D-0459-2025,Celecoxib Capsules,,Class II,Presence of Foreign Tablets/Capsules; customer complaint found one Tadalafil 5mg tablet inside a sealed 500-count bottle of Celecoxib 200mg capsule,No AI summary generated,20250618
,Icosapent Ethyl Capsules 1 gram,,Not Yet Classified,Failed Tablet/Capsule specifications; a product complaint was reported for burnt or melted capsules. This was determined to be a result of oxidation by leakage of capsule contents.,No AI summary generated,20250618
D-0488-2025,Sulfamethoxazole and Trimethoprim Tablets,,Class I,Microbial contamination of non-sterile products: tablets may exhibit black spots due to microbial contamination.,No AI summary generated,20250618
D-0466-2025,ULTRA ARMOR,,Class I,Marketed without an Approved NDA/ANDA: Laboratory analysis found the product to be tainted with undeclared propoxyphenylsildenafil and sildenafil.,No AI summary generated,20250618
D-0460-2025,Celecoxib Capsules,,Class II,Presence of Foreign Tablets/Capsules: manufacturer recalled because one tadalafil 5mg tablet was found in 500 count bottle of Celecoxib 200 mg capsules,No AI summary generated,20250618
D-0468-2025,Cephalexin for Oral Suspension,,Class II,Failed Impurities/Degradation Specifications An out-of-specification result was observed in the related substance test at the sixth month of stability analysis.    The individual impurity was identified to be Cephalexin Glucose Adduct.,No AI summary generated,20250618
D-0467-2025,Male Ultra Pro,,Class I,Marketed without an Approved NDA/ANDA: Laboratory analysis found the product to be tainted with undeclared propoxyphenylsildenafil and sildenafil.,No AI summary generated,20250618
D-0464-2025,MALEXTRA,,Class I,Marketed without an Approved NDA/ANDA: Laboratory analysis found the product to be tainted with undeclared propoxyphenylsildenafil and sildenafil.,No AI summary generated,20250618
D-0463-2025,Male Ultra,,Class I,Marketed without an Approved NDA/ANDA: Laboratory analysis found the product to be tainted with undeclared propoxyphenylsildenafil and sildenafil.,No AI summary generated,20250618
D-0470-2025,Levothyroxine Sodium Tablets,,Class III,Presence of a foreign substance: black hair found embedded in tablet.,No AI summary generated,20250618
D-0462-2025,Ezetimibe and Simvastatin Tablets,,Class III,Failed Impurities/Degradation Specifications: Out of Specification (OOS) for related substances test for Anhydro Simvastatin at the 06-month time point during long-term stability study.,No AI summary generated,20250618
D-0456-2025,Fluoxetine Tablets,,Class II,CGMP Deviations: Presence of N-Nitroso Fluoxetine exceeding interim acceptable intake limit.,No AI summary generated,20250611
D-0454-2025,Indomethacin Extended-Release Capsules,,Class II,cGMP deviations,No AI summary generated,20250611
